NOC,Team,Archery,Athletics,Badminton,Baseball,Basketball,Beach Volleyball,Boxing,Canoeing,Cycling,Diving,Equestrianism,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Judo,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Shooting,Softball,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
ABW,Aruba,,9.0,,,,,2.0,,3.0,,,2.0,,,,,,5.0,,,,,,,9.0,4.0,,1.0,,,,,,3.0,
AFG,Afghanistan,,19.0,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,42.0
AGO,Angola,,29.0,,,71.0,2.0,7.0,6.0,,,,,,,,84.0,,14.0,,,2.0,,3.0,,43.0,,,,,,,,,,
ALB,Albania,,12.0,,,,,,,1.0,,,,,,,,,2.0,,,,,16.0,,11.0,,,,,,,,,17.0,4.0
AND,Andorra,,13.0,,,,,1.0,1.0,5.0,,,,,,,,,6.0,,,,,12.0,,10.0,,,,,,,,,,
ARE,United Arab Emirates,,23.0,,,,,,,16.0,,1.0,,18.0,,,,,5.0,,,,,16.0,,61.0,,,1.0,,,,,,2.0,
ARG,Argentina,2.0,114.0,,,60.0,10.0,70.0,49.0,133.0,9.0,107.0,127.0,126.0,2.0,64.0,44.0,274.0,65.0,8.0,,128.0,13.0,82.0,,190.0,4.0,14.0,7.0,69.0,,6.0,94.0,7.0,14.0,44.0
ARG,Argentina-1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
ARG,Argentina-2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
ARM,Armenia,,18.0,,,,,18.0,2.0,1.0,3.0,,,,,20.0,,,8.0,,,,,9.0,,8.0,,,1.0,3.0,,,,,36.0,47.0
ASM,American Samoa,1.0,11.0,,,,,5.0,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,7.0,2.0
ATG,Antigua and Barbuda,,96.0,,,,,2.0,3.0,17.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
AUS,Australia,73.0,756.0,45.0,68.0,250.0,6.0,98.0,229.0,365.0,129.0,221.0,97.0,150.0,4.0,450.0,30.0,363.0,87.0,46.0,7.0,437.0,25.0,224.0,60.0,1099.0,57.0,60.0,22.0,66.0,6.0,29.0,48.0,223.0,66.0,70.0
AUS,Australia-1,,,6.0,,,14.0,,,,,,,,,,,,,,,,,,,,,6.0,,10.0,,,,,,
AUS,Australia-2,,,6.0,,,14.0,,,,,,,,,,,,,,,,,,,,,6.0,,10.0,,,,,,
AUS,Australia-3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Greenoaks Dundee,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Quando Quando,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Relampago,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,4.0,158.0,9.0,,,8.0,17.0,77.0,117.0,45.0,72.0,109.0,,2.0,103.0,44.0,14.0,53.0,34.0,6.0,98.0,,131.0,,147.0,14.0,51.0,3.0,29.0,,13.0,,,31.0,45.0
AUT,Austria-1,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
AUT,Austria-2,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
AZE,Azerbaijan,1.0,21.0,,,,,37.0,7.0,6.0,2.0,2.0,4.0,,,18.0,,,29.0,,11.0,4.0,,14.0,,11.0,,,9.0,,,1.0,,,21.0,67.0
BDI,Burundi,,30.0,,,,,,,,,,,,,,,,2.0,,,,,,,7.0,,,,,,,,,,
BEL,Belgium,22.0,270.0,6.0,,,2.0,6.0,72.0,202.0,5.0,100.0,59.0,19.0,3.0,114.0,,144.0,55.0,1.0,4.0,60.0,,57.0,,207.0,5.0,14.0,4.0,30.0,,12.0,12.0,17.0,15.0,22.0
BEN,Benin,,42.0,,,,,13.0,,2.0,,,1.0,,,,,,3.0,,,,,,,7.0,,,2.0,1.0,,,,,,
BFA,Burkina Faso,,26.0,,,,,4.0,,,,,1.0,,,,,,6.0,,,,,,,7.0,,,,,,,,,,
BGD,Bangladesh,2.0,28.0,,,,,,,,,,,,1.0,3.0,,,,,,,,8.0,,13.0,,,,,,,,,,
BGR,Bulgaria,7.0,292.0,28.0,,60.0,4.0,93.0,133.0,44.0,5.0,46.0,40.0,33.0,,762.0,,,27.0,28.0,48.0,176.0,,134.0,,124.0,2.0,3.0,,16.0,,,106.0,22.0,91.0,213.0
BGR,Bulgaria-1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria-2,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,,73.0,,,,,,,7.0,,,7.0,,,,,,,12.0,,,,9.0,,12.0,,,,,,,,,,1.0
BHS,Bahamas,,249.0,,,,,7.0,,2.0,1.0,,,,,,,,,,,1.0,,,,43.0,,,,13.0,,,,,,2.0
BIH,Bosnia and Herzegovina,,21.0,,,,,,3.0,,,,,,,,,,7.0,,,,,19.0,,15.0,,2.0,1.0,3.0,,,,,1.0,1.0
BIH,Yugoslavia,2.0,116.0,,,132.0,,42.0,38.0,49.0,,6.0,2.0,83.0,,255.0,115.0,,24.0,,4.0,75.0,,46.0,,74.0,,9.0,,5.0,,,12.0,89.0,4.0,62.0
BIH,Yugoslavia-1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Yugoslavia-2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,10.0,246.0,6.0,,22.0,,22.0,60.0,38.0,19.0,6.0,24.0,16.0,,236.0,,,24.0,14.0,47.0,66.0,,87.0,,91.0,8.0,28.0,,26.0,12.0,,,,48.0,67.0
BLR,Belarus-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
BLR,Belarus-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
BLZ,Belize,,38.0,,,,,1.0,,27.0,,,,,,,,,2.0,,,,,6.0,,,,,1.0,,,,,,1.0,
BMU,Bermuda,,42.0,,,,,4.0,,4.0,1.0,11.0,,,,,,,,,,2.0,,,,25.0,,,,1.0,,5.0,,,,
BOL,Bolivia,,39.0,,,,,1.0,2.0,10.0,2.0,3.0,4.0,,,5.0,,,6.0,,,,,20.0,,22.0,,,,1.0,,,,,3.0,1.0
BRA,Brazil,21.0,413.0,2.0,,212.0,,69.0,49.0,90.0,36.0,145.0,57.0,295.0,3.0,201.0,144.0,16.0,120.0,13.0,26.0,79.0,25.0,67.0,,427.0,33.0,56.0,13.0,35.0,1.0,20.0,285.0,69.0,20.0,13.0
BRA,Brazil-1,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
BRA,Brazil-2,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
BRB,Barbados,,109.0,,,,,9.0,,24.0,1.0,,,,,7.0,,,5.0,,,,,8.0,,36.0,1.0,,,1.0,,1.0,,,2.0,
BRN,Brunei,,6.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,
BTN,Bhutan,34.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
BWA,Botswana,,74.0,,,,,10.0,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,
CAF,Central African Republic,1.0,29.0,,,12.0,,6.0,,7.0,,,,,,,,,4.0,,,,,,,3.0,,,4.0,,,,,,,1.0
CAN,Canada,46.0,707.0,37.0,48.0,131.0,10.0,86.0,256.0,209.0,133.0,244.0,192.0,82.0,4.0,691.0,28.0,155.0,81.0,29.0,15.0,427.0,12.0,152.0,60.0,846.0,67.0,41.0,10.0,52.0,13.0,25.0,84.0,74.0,46.0,136.0
CAN,Canada-1,,,12.0,,,8.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
CAN,Canada-2,,,12.0,,,8.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
CAN,Gran Gesto,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Orion,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Pop Art,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,16.0,264.0,12.0,,,8.0,12.0,60.0,208.0,10.0,187.0,106.0,17.0,2.0,526.0,42.0,16.0,34.0,31.0,2.0,148.0,,146.0,,221.0,25.0,1.0,1.0,43.0,2.0,25.0,,,7.0,55.0
CHE,Switzerland-1,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland-2,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,3.0,79.0,,,,2.0,18.0,2.0,37.0,,31.0,10.0,31.0,1.0,12.0,,,6.0,9.0,,27.0,,29.0,,19.0,,31.0,3.0,17.0,,5.0,,,6.0,1.0
CHN,China,98.0,418.0,49.0,24.0,200.0,8.0,48.0,111.0,94.0,112.0,11.0,227.0,107.0,4.0,641.0,81.0,97.0,82.0,19.0,35.0,170.0,,236.0,60.0,501.0,72.0,64.0,16.0,35.0,14.0,11.0,126.0,76.0,90.0,81.0
CHN,China-1,,,40.0,,,6.0,,,,,,,,,,,,,,,,,,,,,18.0,,8.0,,,,,,
CHN,China-2,,,38.0,,,6.0,,,,,,,,,,,,,,,,,,,,,18.0,,8.0,,,,,,
CHN,China-3,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,Chinese Taipei,87.0,123.0,34.0,67.0,,,20.0,,41.0,6.0,1.0,9.0,13.0,4.0,92.0,,,43.0,3.0,,5.0,,54.0,45.0,159.0,,47.0,18.0,17.0,,,,,57.0,7.0
CHN,Chinese Taipei-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
CHN,Chinese Taipei-2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
CIV,Cote d'Ivoire,2.0,100.0,,,,,8.0,20.0,,,,1.0,16.0,,,14.0,,11.0,,,,,,,8.0,,,8.0,3.0,,,,,,2.0
CMR,Cameroon,,97.0,,,,,42.0,,28.0,,,,67.0,,,,,22.0,,,2.0,,,,5.0,,2.0,,,,,10.0,,11.0,24.0
COD,Congo (Kinshasa),,34.0,,,12.0,,14.0,,18.0,,,,,,,,,9.0,,,,,,,1.0,,4.0,1.0,,,,,,,
COG,Congo (Brazzaville),,58.0,,,,,5.0,,,,,1.0,,,,14.0,,7.0,,,,,,,12.0,,8.0,,,,,,,,
COL,Colombia,17.0,190.0,,,,,47.0,,179.0,24.0,19.0,42.0,120.0,1.0,37.0,,,12.0,,,1.0,12.0,59.0,,116.0,2.0,3.0,9.0,15.0,,3.0,,,63.0,23.0
COM,Comoros,,14.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,
CPV,Cape Verde,,11.0,,,,,2.0,,,,,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,
CRI,Costa Rica,5.0,41.0,,,,2.0,3.0,6.0,20.0,2.0,,1.0,47.0,,,,,16.0,,,,,25.0,,60.0,,,3.0,1.0,,3.0,,,4.0,
CUB,Cuba,8.0,417.0,1.0,112.0,96.0,10.0,126.0,52.0,68.0,32.0,,150.0,29.0,,302.0,27.0,16.0,94.0,3.0,,117.0,,84.0,15.0,46.0,2.0,18.0,13.0,,,,170.0,57.0,63.0,120.0
CUB,Cuba-1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba-2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,,17.0,,,,,,,31.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,
CYP,Cyprus,2.0,67.0,,,,,,,4.0,,,,,,6.0,,,12.0,,3.0,,,23.0,,31.0,,,,2.0,,,,,1.0,2.0
CZE,Czech Republic,2.0,183.0,6.0,,36.0,10.0,7.0,89.0,76.0,1.0,2.0,3.0,16.0,1.0,50.0,,,16.0,12.0,3.0,59.0,,95.0,,102.0,10.0,22.0,,52.0,3.0,17.0,,,7.0,11.0
CZE,Czech Republic-1,,,,,,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
CZE,Czech Republic-2,,,,,,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
CZE,Czechoslovakia,4.0,186.0,2.0,,84.0,,25.0,109.0,108.0,10.0,3.0,25.0,51.0,,569.0,88.0,16.0,17.0,25.0,4.0,190.0,,105.0,,72.0,1.0,12.0,,15.0,,,83.0,12.0,39.0,54.0
CZE,Czechoslovakia-1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czechoslovakia-2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czechoslovakia-3,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Bonaparte,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Elvis Va,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,38.0,758.0,46.0,,24.0,6.0,66.0,227.0,260.0,104.0,203.0,218.0,119.0,4.0,567.0,136.0,252.0,88.0,35.0,31.0,366.0,,202.0,,549.0,4.0,62.0,11.0,46.0,9.0,23.0,60.0,70.0,57.0,98.0
DEU,Germany-1,,,2.0,,,18.0,,6.0,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,
DEU,Germany-2,,,2.0,,,18.0,,6.0,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,
DEU,Germany-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Satchmo,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,,28.0,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,1.0,,,,,,,,
DMA,Dominica,,15.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
DNK,Clearwater,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,27.0,83.0,52.0,,,,32.0,95.0,208.0,5.0,86.0,13.0,76.0,4.0,33.0,159.0,12.0,2.0,12.0,1.0,160.0,,97.0,,252.0,,10.0,4.0,16.0,3.0,7.0,,,10.0,21.0
DNK,Denmark-1,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark-2,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Digby,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Don Schufro,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,1.0,73.0,,20.0,,,51.0,,1.0,5.0,1.0,,,,2.0,,,27.0,,,,,9.0,,6.0,4.0,15.0,6.0,2.0,,,24.0,,21.0,7.0
DZA,Algeria,,139.0,1.0,,,,69.0,,6.0,,,21.0,32.0,,24.0,59.0,,52.0,,,10.0,,2.0,,38.0,,10.0,1.0,2.0,1.0,,31.0,,19.0,19.0
ECU,Ecuador,,79.0,,,,,24.0,2.0,26.0,2.0,3.0,,,,21.0,,,17.0,,,1.0,,16.0,,46.0,,1.0,1.0,6.0,,2.0,,,16.0,9.0
EGY,Egypt,11.0,31.0,2.0,,44.0,2.0,64.0,4.0,6.0,11.0,7.0,97.0,69.0,,39.0,88.0,32.0,38.0,30.0,2.0,40.0,,72.0,,81.0,40.0,35.0,15.0,,,,60.0,33.0,60.0,69.0
ERI,Eritrea,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,36.0,553.0,11.0,20.0,191.0,14.0,51.0,192.0,231.0,32.0,145.0,91.0,118.0,4.0,626.0,206.0,337.0,75.0,27.0,49.0,108.0,25.0,155.0,,403.0,49.0,25.0,17.0,66.0,,26.0,36.0,172.0,34.0,36.0
ESP,Spain-1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,
ESP,Spain-2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,
EST,Estonia,4.0,82.0,5.0,,,4.0,,6.0,31.0,,,31.0,,,,,,9.0,3.0,1.0,35.0,,12.0,,45.0,,1.0,,7.0,,3.0,,,1.0,17.0
ETH,Ethiopia,,267.0,,,,,27.0,,48.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
FIN,Finland,45.0,387.0,14.0,,12.0,,42.0,70.0,71.0,15.0,20.0,25.0,16.0,4.0,207.0,,,27.0,42.0,4.0,47.0,,155.0,,188.0,1.0,1.0,5.0,3.0,,,,,52.0,106.0
FJI,Fiji,3.0,64.0,,,,,3.0,,1.0,,,,16.0,,,,,17.0,,,,26.0,4.0,,60.0,,1.0,,,,,,,8.0,
FRA,Calimucho,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FRA,Diabolo St Maurice,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,81.0,826.0,20.0,,96.0,10.0,90.0,229.0,356.0,40.0,251.0,439.0,117.0,4.0,941.0,181.0,51.0,135.0,66.0,20.0,286.0,25.0,216.0,,621.0,41.0,32.0,14.0,71.0,6.0,26.0,46.0,49.0,63.0,93.0
FRA,France-1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,6.0,,12.0,,,,,,
FRA,France-2,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,6.0,,12.0,,,,,,
FRA,France-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,Whitini Star,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FRG,West Germany,24.0,392.0,,,24.0,,37.0,98.0,93.0,39.0,107.0,153.0,51.0,,394.0,58.0,115.0,26.0,30.0,4.0,178.0,,81.0,,356.0,10.0,6.0,,9.0,,,34.0,58.0,31.0,76.0
FRG,West Germany-1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
FRG,West Germany-2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
FRG,West Germany-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,Federated States of Micronesia,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,4.0,1.0
GAB,Gabon,,22.0,,,,,12.0,,,,,,15.0,,,,,10.0,,,,,,,1.0,,,3.0,,,,,,,
GBR,Great Britain,83.0,1303.0,39.0,,24.0,6.0,116.0,226.0,348.0,134.0,297.0,290.0,48.0,4.0,656.0,28.0,324.0,111.0,71.0,13.0,501.0,24.0,148.0,,951.0,30.0,30.0,17.0,48.0,9.0,29.0,24.0,26.0,84.0,52.0
GBR,Great Britain-1,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,2.0,,8.0,,,,,,
GBR,Great Britain-2,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,2.0,,8.0,,,,,,
GBR,Lancet,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Lucky Star,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Mistral Hojris,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany,,366.0,,,,,45.0,93.0,74.0,43.0,28.0,50.0,51.0,,420.0,71.0,14.0,21.0,6.0,,205.0,,71.0,,334.0,,,,,,,60.0,11.0,31.0,57.0
GDR,East Germany-1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany-2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,18.0,18.0,,,,4.0,11.0,1.0,1.0,3.0,,2.0,,,24.0,,,41.0,1.0,3.0,,,19.0,,7.0,,,,4.0,5.0,,,,16.0,67.0
GHA,Ghana,,181.0,,,,,56.0,,,,,,98.0,,,,,2.0,,,,,,,2.0,,8.0,,,,,,,2.0,
GIN,Guinea,,29.0,,,,,7.0,,,,,,15.0,,,,,11.0,,,,,,,8.0,,,1.0,,,,,,,2.0
GMB,Gambia,,50.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,3.0
GNB,Guinea Bissau,,12.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0
GNQ,Equatorial Guinea,,37.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
GRC,Greece,17.0,323.0,2.0,23.0,48.0,6.0,29.0,15.0,36.0,23.0,12.0,25.0,34.0,,104.0,30.0,,24.0,4.0,40.0,59.0,,78.0,14.0,209.0,20.0,21.0,11.0,22.0,1.0,3.0,24.0,176.0,68.0,102.0
GRC,Greece-1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece-2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,,38.0,,,,,9.0,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,,,,
GTM,Guatemala,,66.0,5.0,,,,7.0,1.0,29.0,,6.0,1.0,53.0,,18.0,,,5.0,6.0,,3.0,,45.0,,84.0,,,5.0,,,,,,13.0,18.0
GUM,Guam,1.0,20.0,,,,,1.0,2.0,18.0,,,,,,,,,7.0,,,,,,,44.0,,,,,,,,,4.0,6.0
GUY,Guyana,,47.0,,,,,18.0,,13.0,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,3.0,
HKG,Hong Kong,11.0,36.0,36.0,,,,2.0,27.0,54.0,7.0,6.0,68.0,,1.0,9.0,,17.0,17.0,,,21.0,,35.0,,192.0,,66.0,,,,3.0,,,1.0,
HKG,Hong Kong-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
HKG,Hong Kong-2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
HND,Honduras,,30.0,,,,,6.0,,,,,1.0,68.0,,,,,7.0,,,1.0,,1.0,,65.0,,1.0,2.0,,,,,,3.0,1.0
HRV,Croatia,,64.0,,,58.0,,8.0,26.0,8.0,1.0,2.0,1.0,,,25.0,89.0,,3.0,,,46.0,,47.0,,106.0,,36.0,10.0,37.0,,,11.0,77.0,3.0,5.0
HTI,Haiti,,47.0,,,,,6.0,,,,,2.0,,,,,,14.0,,,,,,,3.0,,,2.0,3.0,,,,,2.0,1.0
HUN,Hungary,14.0,417.0,7.0,,36.0,,80.0,267.0,74.0,29.0,48.0,378.0,81.0,,774.0,189.0,,76.0,71.0,7.0,99.0,,185.0,,542.0,4.0,36.0,1.0,30.0,,12.0,47.0,226.0,91.0,184.0
HUN,Hungary-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
HUN,Hungary-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IDN,Indonesia,38.0,40.0,46.0,,,4.0,21.0,7.0,12.0,4.0,,9.0,,,,,,9.0,,,3.0,,8.0,,37.0,,11.0,3.0,18.0,,,,,47.0,2.0
IDN,Indonesia-1,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia-2,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,56.0,190.0,27.0,,12.0,,45.0,,12.0,2.0,10.0,,12.0,3.0,53.0,,246.0,15.0,,,10.0,,99.0,,17.0,,26.0,,35.0,,,,,32.0,82.0
IND,India-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IND,India-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IRL,Ireland,11.0,250.0,7.0,,,,82.0,48.0,70.0,1.0,159.0,40.0,,4.0,18.0,,16.0,16.0,10.0,,57.0,,25.0,,110.0,,,,7.0,,5.0,,,3.0,7.0
IRN,Iran,5.0,57.0,1.0,,12.0,,41.0,6.0,70.0,1.0,1.0,55.0,48.0,,12.0,,,18.0,,,5.0,,27.0,,6.0,,9.0,14.0,,,,12.0,11.0,55.0,166.0
IRQ,Iraq,1.0,47.0,,,,,22.0,,3.0,,,,80.0,,,,,2.0,,,3.0,,3.0,,4.0,,1.0,1.0,,,,,,29.0,23.0
ISL,Iceland,,74.0,8.0,,,,,,,,,,,,25.0,102.0,,15.0,,,,,4.0,,122.0,,,,,,,,,7.0,
ISR,Israel,,73.0,2.0,,,,5.0,15.0,4.0,,,21.0,32.0,1.0,90.0,,,32.0,,25.0,,,58.0,,129.0,8.0,1.0,3.0,20.0,,1.0,,,12.0,17.0
