NOC,Team,Archery,Athletics,Badminton,Baseball,Basketball,Beach Volleyball,Boxing,Canoeing,Cycling,Diving,Equestrianism,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Judo,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Shooting,Softball,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
ITA,Italy,93.0,659.0,3.0,88.0,144.0,16.0,105.0,172.0,289.0,84.0,199.0,436.0,137.0,4.0,781.0,,18.0,76.0,66.0,47.0,329.0,,219.0,30.0,653.0,52.0,19.0,11.0,72.0,3.0,17.0,192.0,234.0,47.0,80.0
ITA,Italy-1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
ITA,Italy-2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
JAM,Jamaica,,630.0,1.0,,,,21.0,,33.0,2.0,2.0,,,,4.0,,,,,,,,2.0,,39.0,,6.0,1.0,,,1.0,,,3.0,
JOR,Jordan,1.0,21.0,,,,,5.0,,,,4.0,2.0,,,,,,1.0,,,,,16.0,,12.0,,5.0,8.0,,,1.0,,,,4.0
JPN,Dow Jones,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,92.0,559.0,39.0,112.0,96.0,10.0,60.0,98.0,152.0,64.0,169.0,163.0,197.0,4.0,1002.0,66.0,103.0,129.0,46.0,33.0,129.0,25.0,180.0,59.0,706.0,78.0,66.0,7.0,49.0,12.0,25.0,232.0,60.0,105.0,210.0
JPN,Japan-1,,,16.0,,,4.0,,,,,,,,,,,,,,,,,,,,,16.0,,2.0,,,,,,
JPN,Japan-2,,,16.0,,,4.0,,,,,,,,,,,,,,,,,,,,,16.0,,2.0,,,,,,
JPN,Japan-3,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Rambo,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Whisper,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,27.0,138.0,,,,,56.0,68.0,41.0,13.0,,10.0,,,45.0,14.0,,49.0,10.0,4.0,8.0,,54.0,,68.0,10.0,2.0,9.0,8.0,1.0,6.0,12.0,61.0,40.0,77.0
KEN,Kenya,4.0,454.0,,,,,62.0,,1.0,,,,,,,,96.0,8.0,,,2.0,24.0,28.0,,12.0,,,2.0,,,,24.0,,9.0,7.0
KGZ,Kyrgyzstan,,33.0,,,,,12.0,4.0,5.0,,,2.0,,,,,,14.0,3.0,,,,18.0,,77.0,,,2.0,,,,,,7.0,34.0
KHM,Cambodia,,17.0,,,,,5.0,,8.0,,,,,,,,,1.0,,,,,,,23.0,,,2.0,,,,,,,2.0
KIR,Kiribati,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
KNA,Saint Kitts and Nevis,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,102.0,218.0,40.0,68.0,115.0,,98.0,48.0,103.0,27.0,53.0,198.0,145.0,6.0,512.0,228.0,225.0,119.0,31.0,7.0,64.0,,204.0,,225.0,11.0,65.0,21.0,29.0,,1.0,215.0,13.0,99.0,148.0
KOR,South Korea-1,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
KOR,South Korea-2,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
KWT,Kuwait,,45.0,,,,,3.0,,,8.0,,56.0,32.0,,,26.0,,22.0,,,1.0,,22.0,,27.0,,3.0,1.0,,,,,,1.0,
LAO,Laos,1.0,28.0,,,,,9.0,,1.0,,,,,,,,,1.0,,,,,6.0,,8.0,,,,,,,,,,
LBN,Lebanon,,29.0,,,,,7.0,1.0,13.0,,,55.0,,,,,,18.0,,,1.0,,20.0,,43.0,,3.0,1.0,,,,,,12.0,14.0
LBR,Liberia,,59.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,1.0,27.0,,,,,,,14.0,,,,,,,,,7.0,,,1.0,,,,14.0,,1.0,3.0,,,,9.0,,7.0,
LCA,Saint Lucia,,19.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
LIE,Liechtenstein,,27.0,,,,,,,11.0,,1.0,,,,7.0,,,16.0,,,,,13.0,,4.0,,,,2.0,,,,,,
LKA,Sri Lanka,,59.0,5.0,,,,6.0,,1.0,1.0,,,,,,,,1.0,,,,,22.0,,22.0,,,,,,,,,4.0,1.0
LSO,Lesotho,,51.0,,,,,10.0,,1.0,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,
LTU,Lithuania,,106.0,3.0,,83.0,,16.0,26.0,75.0,,,,,,23.0,,,8.0,20.0,1.0,30.0,,6.0,,78.0,,5.0,,1.0,,,,,5.0,16.0
LUX,Luxembourg,10.0,32.0,,,,,5.0,3.0,29.0,,,32.0,,,78.0,,,4.0,,,,,22.0,,37.0,,6.0,,8.0,,4.0,,,2.0,5.0
LVA,Latvia,,111.0,,,12.0,4.0,2.0,20.0,43.0,,,1.0,,,28.0,,,10.0,16.0,,8.0,,11.0,,29.0,,1.0,,6.0,,,,,15.0,7.0
LVA,Latvia-1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia-2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,1.0,197.0,,,12.0,,83.0,3.0,20.0,,2.0,30.0,110.0,1.0,49.0,,,29.0,2.0,,,,9.0,,9.0,,1.0,15.0,6.0,,,,,11.0,40.0
MCO,Monaco,2.0,5.0,,,,,,,1.0,,,7.0,,,6.0,,,8.0,,,2.0,,26.0,,12.0,,,1.0,,,1.0,,,2.0,
MDA,Moldova,4.0,61.0,,,,,8.0,8.0,12.0,,,,,,,,,11.0,,,,,6.0,,39.0,,,1.0,1.0,,,,,21.0,19.0
MDG,Madagascar,,58.0,,,,,12.0,,1.0,,,,,,,,,13.0,,,,,,,21.0,,,,8.0,,,,,3.0,1.0
MDV,Maldives,,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,
MEX,Mexico,56.0,285.0,3.0,,46.0,12.0,79.0,64.0,112.0,137.0,156.0,72.0,162.0,3.0,202.0,,34.0,30.0,56.0,,68.0,,81.0,,357.0,34.0,5.0,17.0,26.0,,11.0,36.0,33.0,22.0,59.0
MHL,Marshall Islands,,6.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,,,1.0,
MKD,Macedonia,,10.0,,,,,,6.0,,,,,,,,,,1.0,,,,,7.0,,30.0,,,,,,,,,,8.0
MLI,Mali,,33.0,,,12.0,,4.0,,,,,,16.0,,,,,14.0,,,,,,,10.0,,,3.0,,,,,,,
MLT,Malta,4.0,17.0,,,,,,,18.0,,,,,,,,,8.0,,,,,18.0,,15.0,,,,,,,,,1.0,4.0
MMR,Myanmar,5.0,26.0,,,,,11.0,2.0,,,,,13.0,,,,,3.0,,,2.0,,6.0,,7.0,,,,,,,,,11.0,
MNE,Montenegro,,6.0,,,,,2.0,,,,,,,,,29.0,,3.0,,,,,4.0,,3.0,,,,1.0,,,,39.0,,
MNE,Serbia and Montenegro,,46.0,,,36.0,,1.0,11.0,1.0,2.0,,2.0,17.0,,,15.0,,4.0,,,12.0,,32.0,,28.0,,13.0,,3.0,,,35.0,38.0,1.0,3.0
MNG,Mongolia,22.0,22.0,,,,,54.0,,24.0,,,,,,49.0,,,86.0,,,,,63.0,,9.0,,,1.0,,,,,,13.0,110.0
MOZ,Mozambique,,37.0,,,,,5.0,4.0,,,,,,,,,,3.0,,,,,,,29.0,,,,,,,,,,
MRT,Mauritania,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
MUS,Mauritius,3.0,48.0,23.0,,,2.0,14.0,,2.0,,,,,,,,,6.0,,,,,,,25.0,,5.0,,,,2.0,,,7.0,2.0
MUS,Mauritius-1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius-2,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1.0,46.0,,,,,16.0,,17.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
MYS,Malaya,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,2.0,
MYS,Malaysia,20.0,66.0,31.0,,,,3.0,1.0,51.0,36.0,,4.0,15.0,4.0,9.0,,126.0,1.0,,,,,22.0,,93.0,,4.0,4.0,,,,,,11.0,2.0
MYS,Malaysia-1,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia-2,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,,30.0,,,,,13.0,,10.0,,,,,,5.0,,,,,,,,8.0,,9.0,,,,,,,,,,2.0
NER,Niger,,21.0,,,,,13.0,,,,,,,,,,,3.0,,,1.0,,,,8.0,,,1.0,,,,,,,
NGA,Nigeria,,388.0,5.0,,35.0,,73.0,2.0,,,,,163.0,,,16.0,,11.0,,,1.0,,,,12.0,,52.0,7.0,6.0,,,,,27.0,35.0
NGA,Nigeria-1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
NGA,Nigeria-2,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
NIC,Nicaragua,,38.0,,20.0,,,14.0,,10.0,,,,,,,,,5.0,,,,,8.0,,21.0,,,1.0,,,,,,11.0,1.0
NLD,Nadine,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands,40.0,241.0,31.0,92.0,,12.0,23.0,62.0,340.0,12.0,178.0,22.0,16.0,1.0,180.0,14.0,372.0,84.0,6.0,,364.0,,38.0,30.0,574.0,14.0,38.0,7.0,32.0,4.0,13.0,105.0,138.0,1.0,5.0
NLD,Netherlands-1,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
NLD,Netherlands-2,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
NLD,Salinero,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Sunrise,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,18.0,160.0,3.0,,,8.0,12.0,85.0,112.0,8.0,12.0,36.0,65.0,3.0,132.0,116.0,,4.0,,1.0,95.0,,133.0,,83.0,,,4.0,5.0,,1.0,,,11.0,37.0
NOR,Norway-1,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,Norway-2,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,1.0,39.0,,,,,15.0,,,,,,,,,,,4.0,,,,,7.0,,12.0,,,3.0,,,,,,7.0,
NRU,Nauru,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,11.0,
NZL,Cook Islands,,14.0,,,,,3.0,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,8.0,
NZL,New Zealand,10.0,193.0,15.0,,60.0,2.0,16.0,75.0,213.0,6.0,121.0,8.0,80.0,3.0,51.0,,277.0,19.0,1.0,2.0,224.0,25.0,42.0,15.0,284.0,6.0,17.0,8.0,9.0,1.0,24.0,,,21.0,16.0
OMN,Oman,,38.0,,,,,2.0,,1.0,,,,,,,,,,,,,,21.0,,3.0,,,,,,,,,,
PAK,Pakistan,,67.0,,,,,35.0,,10.0,,,,,,,,200.0,1.0,,,3.0,,17.0,,10.0,,1.0,,,,,,,6.0,26.0
PAN,Panama,,34.0,,,12.0,,5.0,1.0,,,,3.0,,,4.0,,,4.0,,,,,4.0,,31.0,,,2.0,,,,,,16.0,18.0
PER,Peru,,57.0,5.0,,12.0,,5.0,1.0,11.0,2.0,2.0,3.0,19.0,,4.0,,,5.0,1.0,,12.0,,67.0,,76.0,,11.0,3.0,3.0,,,75.0,,10.0,22.0
PHL,Philippines,10.0,73.0,1.0,,36.0,,51.0,,27.0,4.0,3.0,2.0,,1.0,20.0,,,15.0,,,2.0,,48.0,,161.0,,1.0,10.0,,,,,,18.0,20.0
PLW,Palau,,9.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,7.0,,,,,,,,,2.0,4.0
PNG,Papua New Guinea,,60.0,,,,,15.0,,,,,,,,,,,2.0,,,,,3.0,,12.0,,,4.0,,,,,,10.0,
POL,Poland,66.0,695.0,28.0,,72.0,4.0,96.0,260.0,202.0,21.0,88.0,329.0,63.0,,471.0,72.0,78.0,75.0,55.0,15.0,252.0,,156.0,,243.0,,42.0,4.0,30.0,,7.0,140.0,,108.0,164.0
POL,Poland-1,,,2.0,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
POL,Poland-2,,,2.0,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
POL,Poland-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,7.0,127.0,,20.0,108.0,2.0,83.0,,5.0,14.0,7.0,13.0,,,45.0,,,36.0,,,2.0,,51.0,15.0,185.0,2.0,2.0,4.0,5.0,,1.0,12.0,,30.0,26.0
PRK,North Korea,19.0,40.0,,,,,25.0,,3.0,31.0,,,46.0,,261.0,,,35.0,,2.0,6.0,,62.0,,,6.0,40.0,,,,,11.0,,51.0,32.0
PRK,North Korea-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
PRK,North Korea-2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
PRT,Galopin De La Font,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Notavel,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Oxalis,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,8.0,291.0,12.0,,,8.0,1.0,53.0,38.0,1.0,44.0,40.0,53.0,2.0,83.0,,,53.0,9.0,3.0,18.0,,56.0,,152.0,,16.0,2.0,11.0,7.0,9.0,,,8.0,17.0
PRY,Paraguay,,31.0,,,,,4.0,,,,,9.0,34.0,2.0,,,,5.0,,,5.0,,10.0,,20.0,,3.0,,9.0,,,,,,
QAT,Qatar,1.0,94.0,,,,2.0,2.0,,,,8.0,1.0,31.0,,,15.0,,1.0,,,,,18.0,,7.0,,4.0,1.0,,,,,,5.0,
ROU,Romania,5.0,283.0,1.0,,,,97.0,213.0,25.0,23.0,25.0,263.0,18.0,,946.0,130.0,,45.0,15.0,7.0,349.0,,105.0,,199.0,,35.0,,37.0,,,54.0,76.0,67.0,155.0
ROU,Romania-1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,
ROU,Romania-2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,
RUS,Russia,47.0,564.0,30.0,,94.0,10.0,64.0,114.0,154.0,76.0,21.0,171.0,,1.0,404.0,100.0,,71.0,21.0,47.0,85.0,,163.0,,375.0,63.0,35.0,11.0,50.0,16.0,20.0,142.0,103.0,45.0,105.0
RUS,Russia-1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,,,,
RUS,Russia-2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,,,,
RWA,Rwanda,,39.0,,,,,,,6.0,,,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,
SAU,Saudi Arabia,5.0,105.0,,,,,,,14.0,,28.0,12.0,30.0,,,,,3.0,,,,,14.0,,9.0,,2.0,1.0,,,,,,7.0,
SDN,Sudan,,53.0,,,,,20.0,,,,,,14.0,,,,,3.0,,,,,6.0,,6.0,,1.0,,,,,,,4.0,
SEN,Senegal,,162.0,,,60.0,,6.0,6.0,,,,6.0,17.0,,,,,47.0,,,,,2.0,,24.0,,1.0,3.0,,,,,,,40.0
SGP,Singapore,,18.0,21.0,,,,1.0,2.0,,,,4.0,,,4.0,,,2.0,,,1.0,,16.0,,141.0,,36.0,,,,,,,5.0,
SGP,Singapore-1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
SGP,Singapore-2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
SLB,Solomon Islands,1.0,17.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7.0,
SLE,Sierra Leone,,99.0,,,,,9.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,
SLV,El Salvador,2.0,37.0,,,,,2.0,,17.0,,,,18.0,,,,,10.0,,,3.0,,24.0,,83.0,,,,1.0,,,,,8.0,5.0
SMR,San Marino,3.0,20.0,,,,,,,16.0,,,,,,7.0,,,9.0,,,,,55.0,,26.0,,,,2.0,,,,,2.0,1.0
SOM,Somalia,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,,37.0,,,24.0,,1.0,31.0,6.0,,,,15.0,,,15.0,,2.0,,,13.0,,45.0,,32.0,,4.0,5.0,20.0,,,59.0,39.0,,6.0
SRB,Serbia-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SRB,Serbia-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SSD,South Sudan,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,,12.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,,29.0,3.0,,,,,,3.0,,,,,,,,,5.0,,,,,,,29.0,,,,,,,,,,
SVK,Slovakia,2.0,92.0,2.0,,12.0,,2.0,102.0,45.0,,,,18.0,,28.0,,,7.0,,,5.0,,46.0,,40.0,6.0,5.0,,42.0,1.0,3.0,,13.0,10.0,13.0
SVK,Slovakia-1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SVK,Slovakia-2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SVN,Slovenia,9.0,97.0,3.0,,,,,36.0,36.0,,,,,,24.0,47.0,,25.0,,,42.0,,25.0,,100.0,,4.0,4.0,16.0,,2.0,,,,
SVN,Slovenia-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SVN,Slovenia-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
SWE,Briar,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Floresco,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Solos Carex,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,68.0,297.0,27.0,,12.0,6.0,43.0,186.0,134.0,35.0,206.0,100.0,148.0,4.0,226.0,166.0,,28.0,58.0,1.0,72.0,,163.0,,551.0,1.0,45.0,8.0,38.0,,4.0,12.0,11.0,36.0,128.0
SWE,Sweden-1,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,
SWE,Sweden-2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,,,,,
SWZ,Swaziland,,34.0,,,,,8.0,,,,,,,,,,,,,,,,2.0,,16.0,,,1.0,,,,,,3.0,
SXM,Netherlands Antilles,,6.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,3.0,,,,,,1.0,,,,
SYC,Seychelles,,47.0,2.0,,,,14.0,4.0,,,,,,,,,,4.0,,,,,,,24.0,,,,,,,,,5.0,
SYR,Syria,,32.0,,,,,19.0,,1.0,1.0,1.0,,15.0,,,,,9.0,,,,,12.0,,13.0,,1.0,,,,1.0,,,12.0,38.0
TCD,Chad,,37.0,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
TGO,Togo,,31.0,,,,,8.0,3.0,5.0,,,,,,,,,3.0,,,1.0,,,,3.0,,1.0,,1.0,,,,,,
THA,Thailand,7.0,131.0,42.0,,,,78.0,1.0,50.0,6.0,2.0,19.0,17.0,4.0,,,,10.0,,,5.0,,118.0,,82.0,,7.0,13.0,13.0,,,,,43.0,
THA,Thailand-1,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,Thailand-2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,2.0,11.0,,,,,10.0,,,2.0,,,,,,,,10.0,,,,,4.0,,7.0,,,2.0,,,,,,1.0,11.0
TKM,Turkmenistan,,11.0,,,,,7.0,,,,,,,,,,,10.0,,,,,5.0,,8.0,,2.0,,,,,,,9.0,2.0
TLS,Timor Leste,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,3.0,20.0,,,,,13.0,,,,,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,4.0,
TTO,Trinidad and Tobago,,238.0,1.0,,,,5.0,,42.0,,,,,,4.0,,,1.0,,,1.0,,8.0,,33.0,,2.0,2.0,,,,,,3.0,
TTO,West Indies Federation,,12.0,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,
TUN,Tunisia,,74.0,,,12.0,2.0,47.0,8.0,10.0,,,27.0,65.0,,8.0,72.0,,38.0,6.0,,8.0,,5.0,,30.0,,17.0,8.0,6.0,,,70.0,,12.0,29.0
TUR,Turkey,57.0,153.0,2.0,,23.0,,68.0,2.0,18.0,2.0,7.0,7.0,14.0,,11.0,,,33.0,1.0,,3.0,,38.0,,100.0,,6.0,12.0,1.0,,,12.0,,64.0,194.0
TUV,Tuvalu,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
TZA,Tanzania,,102.0,,,,,36.0,,,,,,,,,,16.0,1.0,,,,,,,6.0,,,,,,,,,,
UAR,United Arab Republic,,2.0,,,,,4.0,,,4.0,6.0,9.0,17.0,,48.0,,,,,,9.0,,3.0,,,,,,,,,,10.0,7.0,4.0
UGA,Uganda,1.0,138.0,2.0,,,,71.0,,2.0,,,,,,,,17.0,,,,,,,,10.0,,7.0,,,,,,,7.0,
UKR,Ukraine,63.0,390.0,18.0,,12.0,,43.0,63.0,101.0,63.0,26.0,91.0,,,336.0,15.0,,44.0,15.0,34.0,81.0,,98.0,,203.0,18.0,10.0,3.0,15.0,9.0,11.0,12.0,13.0,49.0,89.0
UKR,Ukraine-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
UKR,Ukraine-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
URS,Soviet Union,25.0,668.0,,,120.0,,76.0,115.0,121.0,76.0,126.0,224.0,69.0,,587.0,99.0,47.0,31.0,42.0,2.0,269.0,,111.0,,439.0,5.0,8.0,,10.0,,,141.0,79.0,57.0,128.0
URY,Uruguay,,35.0,,,35.0,,15.0,4.0,63.0,1.0,9.0,5.0,16.0,,,,,6.0,2.0,,27.0,,7.0,,64.0,,,,2.0,,,,,4.0,
USA,Brentina,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA,Mythilus,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA,Ravel,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,103.0,1747.0,33.0,88.0,287.0,,149.0,251.0,321.0,160.0,309.0,388.0,210.0,7.0,1073.0,129.0,127.0,105.0,67.0,21.0,589.0,25.0,321.0,60.0,1254.0,62.0,57.0,18.0,70.0,8.0,29.0,263.0,222.0,103.0,246.0
USA,United States-1,,,,,,24.0,,4.0,,,,,,,,,,,,,,,,,,,6.0,,20.0,,,,,,
USA,United States-2,,,,,,24.0,,4.0,,,,,,,,,,,,,,,,,,,6.0,,20.0,,,,,,
USA,United States-3,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,,94.0,,,,,50.0,47.0,5.0,,,3.0,,,35.0,,,42.0,,7.0,6.0,,20.0,,56.0,,2.0,11.0,6.0,5.0,,,,23.0,52.0
VCT,Saint Vincent and the Grenadines,,36.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
VEN,Venezuela,5.0,96.0,,,22.0,4.0,75.0,5.0,84.0,17.0,4.0,66.0,16.0,1.0,23.0,,,40.0,,,2.0,,37.0,15.0,160.0,5.0,12.0,10.0,11.0,,2.0,22.0,,27.0,32.0
VGB,British Virgin Islands,,31.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
VIR,United States Virgin Islands,,61.0,,,,,10.0,,2.0,,4.0,5.0,,,,,,,,,,,23.0,,81.0,,,,,,,,,1.0,4.0
VNM,South Vietnam,,4.0,,,,,,,13.0,,,7.0,,,,,,3.0,,,,,5.0,,7.0,,,,,,,,,,
VNM,Vietnam,,29.0,5.0,,,,2.0,1.0,1.0,,,5.0,,,14.0,,,3.0,,,6.0,,23.0,,37.0,,2.0,9.0,,,,,,9.0,8.0
VUT,Vanuatu,1.0,25.0,,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,4.0,,,,,,,,
WSM,Samoa,2.0,13.0,,,,,18.0,6.0,1.0,,,,,,,,,3.0,,,,,,,2.0,,,2.0,,,,,,13.0,3.0
XKX,Kosovo,,2.0,,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,
YEM,North Yemen,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0
YEM,South Yemen,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,,14.0,,,,,,,,,,,,,4.0,,,8.0,,,,,,,3.0,,,2.0,,,,,,,1.0
ZAF,South Africa,13.0,207.0,22.0,24.0,,8.0,24.0,40.0,59.0,5.0,5.0,28.0,66.0,4.0,16.0,,129.0,8.0,4.0,2.0,55.0,13.0,21.0,,235.0,4.0,2.0,1.0,27.0,,13.0,,9.0,6.0,12.0
ZMB,Zambia,,70.0,1.0,,,,51.0,,,,,1.0,32.0,,,,,12.0,,,,,,,14.0,,,,,,,,,,2.0
ZWE,Rhodesia,,4.0,,,,,4.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ZWE,Zimbabwe,9.0,82.0,,,,,9.0,,9.0,17.0,1.0,,17.0,,,,30.0,7.0,,,7.0,,21.0,,67.0,,,,19.0,,3.0,,,1.0,
